RefactoringType,L1,L2,L3,L4,L5,L6,AuthorGroup
Inline Method,pmd,src,net,sourceforge,pmd,symboltable/NameOccurrences.java,extremely high
Inline Variable,pmd,src,net,sourceforge,pmd,symboltable/ClassScope.java,extremely high
Move Method,pmd,src,net,sourceforge,pmd,symboltable/SymbolFacade.java,extremely high
Extract Superclass,pmd-eclipse,src,net,sourceforge,pmd,eclipse/model/PreferencesModelImpl.java,high
Rename Attribute,pmd-eclipse,src,net,sourceforge,pmd,eclipse/PMDPluginConstants.java,high
Extract Variable,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/RenderReportCmd.java,high
Move Attribute,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/RunnableCommandProcessor.java,high
Move Method,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/RunnableCommandProcessor.java,high
Pull Up Method,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/DeltaVisitor.java,high
Pull Up Method,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/UpdatePmdEnabledPropertyCmd.java,high
Pull Up Method,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/UpdateProjectRuleSetCmd.java,high
Pull Up Method,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/UpdateProjectWorkingSetCmd.java,high
Pull Up Method,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/UpdateRuleSetStoredInProjectPropertyCmd.java,high
Pull Up Method,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/QueryPmdEnabledPropertyCmd.java,high
Pull Up Method,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/UpdateRuleSetStoredInProjectPropertyCmd.java,high
Pull Up Method,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/QueryRuleSetStoredInProjectPropertyCmd.java,high
Pull Up Method,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/UpdatePmdEnabledPropertyCmd.java,high
Pull Up Method,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/UpdateRuleSetStoredInProjectPropertyCmd.java,high
Rename Class,pmd-eclipse,src,net,sourceforge,pmd,eclipse/properties/ProjectPropertiesDO.java,high
Rename Class,pmd-eclipse,src,net,sourceforge,pmd,eclipse/properties/RuleSpecDO.java,high
Extract Method,pmd,regress,test,net,sourceforge,pmd/rules/UnusedFormalParameterRuleTest.java,extremely high
Move Class,pmd-eclipse,src,net,sourceforge,pmd,eclipse/CPDVisitor.java,high
Move Class,pmd-eclipse,src,net,sourceforge,pmd,eclipse/actions/CPDCheckProjectAction.java,high
Extract Method,pmd-eclipse,src,net,sourceforge,pmd,eclipse/properties/ProjectPropertiesModelImpl.java,high
