Refactoring_id,Commit,Type
314,1c12c806842dada6f4182f79dc11ca63688c4207,"Change Parameter Type"
315,1c12c806842dada6f4182f79dc11ca63688c4207,"Change Return Type"
316,1c12c806842dada6f4182f79dc11ca63688c4207,"Change Variable Type"
317,1c12c806842dada6f4182f79dc11ca63688c4207,"Rename Method"
318,1d1df0174da000cf99de4d381d7bb6ba0f9d6dc5,"Change Attribute Type"
319,1d1df0174da000cf99de4d381d7bb6ba0f9d6dc5,"Change Return Type"
320,1d1df0174da000cf99de4d381d7bb6ba0f9d6dc5,"Rename Method"
321,1d1df0174da000cf99de4d381d7bb6ba0f9d6dc5,"Rename Parameter"
322,1d1df0174da000cf99de4d381d7bb6ba0f9d6dc5,"Rename Variable"
323,1d1e449b82c3ad6316d4d2b8b88c9e6b926775c7,"Move Class"
324,1d1e449b82c3ad6316d4d2b8b88c9e6b926775c7,"Rename Class"
325,1d1e449b82c3ad6316d4d2b8b88c9e6b926775c7,"Rename Method"
326,1d1e449b82c3ad6316d4d2b8b88c9e6b926775c7,"Rename Parameter"
327,1d1e449b82c3ad6316d4d2b8b88c9e6b926775c7,"Rename Variable"
328,1d57cc4c88f2c7f2349b860b14cef932b509346a,"Change Attribute Type"
329,1e2762ccff52090b8ef40be923b1d7f8d33f429e,"Rename Attribute"
330,1e2762ccff52090b8ef40be923b1d7f8d33f429e,"Rename Method"
331,1e5cbb8d25d3c85aabd28ffb7b86fa2f3c78c5c4,"Change Attribute Type"
332,1e5cbb8d25d3c85aabd28ffb7b86fa2f3c78c5c4,"Rename Attribute"
333,1ea8fb6d27b57ca1d4424a07055449e5f5ff612a,"Move Class"
334,1ea8fb6d27b57ca1d4424a07055449e5f5ff612a,"Rename Class"
335,1eae4e65dfc37a4e88b9c97186375a9d3cde5e4a,"Rename Variable"
336,1eaf603593b710dde3f609f5573e61d77cfe5975,"Change Attribute Type"
337,1eaf603593b710dde3f609f5573e61d77cfe5975,"Change Variable Type"
338,1eaf603593b710dde3f609f5573e61d77cfe5975,"Rename Attribute"
339,1eaf603593b710dde3f609f5573e61d77cfe5975,"Rename Variable"
340,1eb45a93a354902c1a131380f00cb9f4e0b8e5dd,"Change Attribute Type"
341,1eb45a93a354902c1a131380f00cb9f4e0b8e5dd,"Change Parameter Type"
342,1eb45a93a354902c1a131380f00cb9f4e0b8e5dd,"Change Return Type"
343,1eb45a93a354902c1a131380f00cb9f4e0b8e5dd,"Change Variable Type"
344,1eb45a93a354902c1a131380f00cb9f4e0b8e5dd,"Rename Attribute"
345,1eb45a93a354902c1a131380f00cb9f4e0b8e5dd,"Rename Method"
