SATD_id,Commit_id,Project_id,Satd_type,v1_comment,v2_comment
13535,d62fcac59b6961729e5a6a0f3efd88d3501ead8d,3,FILE_PATH_CHANGED,TODO: would be good to scan the files here,TODO: would be good to scan the files here
13536,99784be406ff405c418d672f5a92c8f066767b87,3,FILE_PATH_CHANGED,"Let JIRA do the filtering of the current version instead of the JIRA mojo.
This way JIRA returns less issues and we do not run into the 
bEntriesMax limit that easily.","Let JIRA do the filtering of the current version instead of the JIRA mojo.
This way JIRA returns less issues and we do not run into the 
bEntriesMax limit that easily."
13537,99784be406ff405c418d672f5a92c8f066767b87,3,FILE_PATH_CHANGED,"@todo Add more issue management systems here
Remember to also add documentation in usage.apt.vm","@todo Add more issue management systems here
Remember to also add documentation in usage.apt.vm"
13538,99784be406ff405c418d672f5a92c8f066767b87,3,FILE_PATH_CHANGED,TODO: better way?,TODO: better way?
13539,99784be406ff405c418d672f5a92c8f066767b87,3,FILE_PATH_CHANGED,"If we dont get a properly formed templateName then Theres not much we can do. So we'll forget about
trying to search any more paths for the template.","If we dont get a properly formed templateName then Theres not much we can do. So we'll forget about
trying to search any more paths for the template."
13540,99784be406ff405c418d672f5a92c8f066767b87,3,FILE_PATH_CHANGED,The standard issue types for Trac (probably wrong),The standard issue types for Trac (probably wrong)
13541,99784be406ff405c418d672f5a92c8f066767b87,3,FILE_PATH_CHANGED,TODO: save for inspection?,TODO: save for inspection?
13542,99784be406ff405c418d672f5a92c8f066767b87,3,SATD_REMOVED,This classloader juggling is a workaround for a classic Maven 2 class loader management bug.,None
13543,99784be406ff405c418d672f5a92c8f066767b87,3,FILE_PATH_CHANGED,TODO: is this guaranteed to be the latest?,TODO: is this guaranteed to be the latest?
13544,99784be406ff405c418d672f5a92c8f066767b87,3,FILE_PATH_CHANGED,TODO: localize?,TODO: localize?
13545,99784be406ff405c418d672f5a92c8f066767b87,3,FILE_PATH_CHANGED,@todo Do we need to be able to configure the locale of the JIRA server as well?,@todo Do we need to be able to configure the locale of the JIRA server as well?
13546,99784be406ff405c418d672f5a92c8f066767b87,3,FILE_PATH_CHANGED,"@todo We need to add something like issue.getPresentationIdentifier() to be able to support other IMSes
beside JIRA","@todo We need to add something like issue.getPresentationIdentifier() to be able to support other IMSes
beside JIRA"
13547,99784be406ff405c418d672f5a92c8f066767b87,3,SATD_REMOVED,"Handle deprecated parameters, in a backward compatible way",None
13548,99784be406ff405c418d672f5a92c8f066767b87,3,FILE_PATH_CHANGED,@todo Add more issue management systems here.,@todo Add more issue management systems here.
13549,99784be406ff405c418d672f5a92c8f066767b87,3,FILE_PATH_CHANGED,TODO: push to a helper? Could still be improved by taking more of the site information from the site plugin,TODO: push to a helper? Could still be improved by taking more of the site information from the site plugin
13570,87b24eacada0322fb0197839d953a9ff1771b2aa,3,SATD_REMOVED,The fileName should probably use the plugin executionId instead of the targetName,None
13571,87b24eacada0322fb0197839d953a9ff1771b2aa,3,CLASS_OR_METHOD_CHANGED,The fileName should probably use the plugin executionId instead of the targetName,The fileName should probably use the plugin executionId instead of the targetName
13596,c98ae62e5a38b1e37df06ba6e768bcae9527942c,3,SATD_CHANGED,"TODO: Think if ResultionScope is needed here? May be we need to reconsider package phase?
May be it would be wise to put into PREPARE-PACKAGE and the generation of the final jimage in the package phase?
Furthermore It could make sense so we can change the conf files if needed...
CHECKSTYLE_OFF: LineLength","TODO: Check things about conf files?
CHECKSTYLE_OFF: LineLength"
13597,c98ae62e5a38b1e37df06ba6e768bcae9527942c,3,SATD_REMOVED,"TODO: Think if ResultionScope is needed here? May be we need to reconsider package phase?
May be it would be wise to put into PREPARE-PACKAGE and the generation of the final jimage in the package phase?
Furthermore It could make sense so we can change the conf files if needed...
CHECKSTYLE_OFF: LineLength",CHECKSTYLE_ON: LineLength
13599,c98ae62e5a38b1e37df06ba6e768bcae9527942c,3,SATD_CHANGED,"TODO: What about module name != artifactId which has been
defined in module-info.java file!
This would mean to read the module-info information from the jmod file for example...","TODO: What about module name != artifactId which has been
defined in module-info.java file!
This would mean to read the module-info information from the jmod/jar file for example to
get the appropriate information."
13600,c98ae62e5a38b1e37df06ba6e768bcae9527942c,3,SATD_CHANGED,"TODO: Check if this is the correct way?
This implies the artifactId is equal to moduleName.","TODO: Check if this is the correct way?
This implies the artifactId is equal to moduleName which might not always be the case!"
13603,a1500c9d030512f897c166180a271f7a22743894,3,SATD_CHANGED,"TODO: Reconsider resolution scope, phase ?
CHECKSTYLE_OFF: LineLength","TODO: Reconsider resolution scope.
CHECKSTYLE_OFF: LineLength"
13604,a1500c9d030512f897c166180a271f7a22743894,3,SATD_REMOVED,"TODO: Reconsider resolution scope, phase ?
CHECKSTYLE_OFF: LineLength",CHECKSTYLE_ON: LineLength
13605,a1500c9d030512f897c166180a271f7a22743894,3,SATD_CHANGED,"We need to put the resulting x.jmod files into jmods folder.
Check why?","We need to put the resulting x.jmod files into jmods folder otherwise is
seemed to be not working.
Check why?"
13606,a1500c9d030512f897c166180a271f7a22743894,3,SATD_REMOVED,"Can not be overwritten...
TODO: Good idea?",None
13607,a1500c9d030512f897c166180a271f7a22743894,3,SATD_REMOVED,FIXME: Check this ?,None
13612,227086e9ea009452e0b7bd2980c33b1791353a75,3,SATD_REMOVED,TODO: Check if we should allow to extend the modulePaths by manual additions in the pom file?,None
13614,227086e9ea009452e0b7bd2980c33b1791353a75,3,SATD_CHANGED,"TODO: What about module name != artifactId which has been
defined in module-info.java file!
This would mean to read the module-info information from the jmod/jar file for example to
get the appropriate information.",Isn't there a better solution?
13615,227086e9ea009452e0b7bd2980c33b1791353a75,3,SATD_REMOVED,"TODO: Check if this is the correct way?
This implies the artifactId is equal to moduleName which might not always be the case!",None
13616,227086e9ea009452e0b7bd2980c33b1791353a75,3,SATD_REMOVED,"
// FIXME: Need to check if the given paths exists? and if they are
// folders?
// String message = The given module-paths parameter  + modulePath.getAbsolutePath()",None
13635,222802dee2681c14153ce9c444ccc351fcca1683,3,SATD_REMOVED,Isn't there a better solution?,None
13648,7e6b3d89833241e617d269cff5686853bc001409,6,SATD_REMOVED,FIXME: Make sure this can now be deleted,None
13671,e83981e90090b55b84cad723a241efb774255383,6,SATD_REMOVED,FIXME: Should probably blow up with localIdentifier is not right here!,None
13673,c1615b41e297cb2b3e331a042fc43213f12227e5,6,SATD_REMOVED,FIXME: Can this somehow be integrated with the package stuff?,(blank)
